Identificador único del municipio,Clave de entidad federativa,Entidad federativa,Clave de municipio o delegación,Municipio o delegación,Estimador_x,Porcentaje de población de 20 años y más con obesidad.,Porcentaje de población de 20 años y más con diagnóstico previo de hipertensión.,Porcentaje de población de 20 años y más con diagnóstico previo de diabetes.,Municipio,Estimador_y,Ingreso Corriente Promedio Trimestral por Hogar 2020,Codigo,Total,municipio,entidad,Big,Medium,Small,Total_Pharmacies,Pharmacy_Density_per_100k,CVEGEO,Big_Pharmacy_Ratio,Medium_Pharmacy_Ratio,Total_Trimestral_Income,Income_per_Big_Pharmacy
05027,5.0,COAHUILA DE ZARAGOZA,27.0,Ramos Arizpe,Valor,43.621697850524384,20.352439601732794,9.927464961787233,RAMOS ARIZPE,Valor,59746.8138412064,05 027,122243,RAMOS ARIZPE,COAHUILA DE ZARAGOZA,10.0,10.0,5.0,25.0,20.45106877285407,5.027.0,8.180427509141627,8.180427509141627,7303629764.390594,7303.629764390594
32057,32.0,ZACATECAS,57.0,Trancoso,Valor,32.477645622261136,15.941678412008999,8.089965510783742,TRANCOSO,Valor,35659.5805641993,32 057,20455,TRANCOSO,ZACATECAS,1.0,2.0,2.0,5.0,24.443901246638962,32.057.0,4.888780249327793,9.777560498655586,729416720.4406967,7294.167204406967
21169,21.0,PUEBLA,169.0,Tepexi de Rodríguez,Valor,33.6865233593197,16.813893811543274,9.098469430784581,TEPEXI DE RODRÍGUEZ,Valor,32568.7464877418,21 169,22331,TEPEXI DE RODRÍGUEZ,PUEBLA,1.0,3.0,5.0,9.0,40.30271819443822,21.0169.0,4.478079799382025,13.434239398146076,727292677.8177621,7272.926778177622
30121,30.0,VERACRUZ DE IGNACIO DE LA LLAVE,121.0,Ozuluama de Mascareñas,Valor,46.860322168605244,25.08173247812278,11.5960387917015,OZULUAMA DE MASCAREÑAS,Valor,31917.2432589336,30 121,22756,OZULUAMA DE MASCAREÑAS,VERACRUZ DE IGNACIO DE LA LLAVE,1.0,3.0,0.0,4.0,17.577781683951486,30.0121.0,4.394445420987871,13.183336262963612,726308787.6002929,7263.087876002929
11025,11.0,GUANAJUATO,25.0,Purísima del Rincón,Valor,36.91794443180697,13.926579422298637,9.04626124583378,PURÍSIMA DEL RINCÓN,Valor,43112.5670708237,11 025,83842,PURÍSIMA DEL RINCÓN,GUANAJUATO,5.0,3.0,7.0,15.0,17.890794589823717,11.025.0,5.963598196607905,3.5781589179647435,3614643848.3520007,7229.287696704001
19025,19.0,NUEVO LEÓN,25.0,General Zuazua,Valor,44.28793258512492,13.810755506684474,9.208797814712803,GENERAL ZUAZUA,Valor,49353.0962856989,19 025,102149,GENERAL ZUAZUA,NUEVO LEÓN,7.0,7.0,2.0,16.0,15.663393670031033,19.025.0,6.852734730638577,6.852734730638577,5041369432.487857,7201.95633212551
16047,16.0,MICHOACÁN DE OCAMPO,47.0,Jungapeo,Valor,34.05167495445341,16.8489063863593,8.976825537252774,JUNGAPEO,Valor,36197.9509534519,16 047,19834,JUNGAPEO,MICHOACÁN DE OCAMPO,1.0,4.0,5.0,10.0,50.418473328627606,16.047.0,5.041847332862761,20.167389331451044,717950159.210765,7179.50159210765
30117,30.0,VERACRUZ DE IGNACIO DE LA LLAVE,117.0,Omealca,Valor,32.13474247953422,23.217620820675712,11.160418630736665,OMEALCA,Valor,29910.2396909931,30 117,23773,OMEALCA,VERACRUZ DE IGNACIO DE LA LLAVE,1.0,6.0,1.0,8.0,33.651621587515244,30.0117.0,4.2064526984394055,25.23871619063644,711056128.173979,7110.5612817397905
07023,7.0,CHIAPAS,23.0,Chamula,Valor,13.477690851511683,8.402889010618093,6.977252359268067,CHAMULA,Valor,20899.125478305,07 023,101967,CHAMULA,CHIAPAS,3.0,2.0,3.0,8.0,7.845675561701334,7.023.0,2.9421283356380004,1.9614188904253336,2131021127.6463258,7103.403758821086
15102,15.0,MÉXICO,102.0,Timilpan,Valor,29.075980489386822,21.465576152544298,9.199063478893741,TIMILPAN,Valor,43250.8016773876,15 102,16414,TIMILPAN,MÉXICO,1.0,3.0,3.0,7.0,42.64652126233703,15.0102.0,6.092360180333861,18.277080541001585,709918658.73264,7099.1865873264005
